"Alpha","Beta","Gamma","b_pr","theta_pr"
"0","0","0","2.90","8.42"
"0","180","0","2.90","8.42"
"180","0","0","2.90","8.42"
"180","180","0","2.90","8.42"
"90","0","0","4.20","15.08"
"90","180","0","4.20","15.08"
"270","0","0","4.20","15.08"
"270","180","0","4.20","15.08"
"0","90","90","4.90","14.56"
"0","90","270","4.90","14.56"
"180","90","90","4.90","14.56"
"180","90","270","4.90","14.56"
"90","90","90","3.60","4.80"
"90","90","270","3.60","4.80"
"270","90","90","3.60","4.80"
"270","90","270","3.60","4.80"
"20.9","60","20.9","2.90","6.54"
"20.9","120","339.1","2.90","6.54"
"159.1","60","159.1","2.90","6.54"
"159.1","120","200.9","2.90","6.54"
"200.9","60","20.9","2.90","6.54"
"200.9","120","339.1","2.90","6.54"
"339.1","60","159.1","2.90","6.54"
"339.1","120","200.9","2.90","6.54"
"110.9","60","20.9","3.80","2.92"
"110.9","120","339.1","3.80","2.92"
"249.1","60","149.1","3.80","2.92"
"290.9","60","20.9","3.80","2.92"
"290.9","120","339.1","3.80","2.92"
"69.1","60","159.1","3.80","2.92"
"69.1","120","200.9","3.80","2.92"
"20.9","60","20.9","3.80","2.92"
"20.9","60","200.9","3.20","6.76"
"20.9","120","159.1","3.20","6.76"
"159.1","60","339.1","3.20","6.76"
"159.1","120","20.9","3.20","6.76"
"200.9","60","200.9","3.20","6.76"
"200.9","120","159.1","3.20","6.76"
"339.1","60","339.1","3.20","6.76"
"339.1","120","20.9","3.20","6.76"
"110.9","60","200.9","4.50","11.10"
"110.9","120","159.1","4.50","11.10"
"249.1","60","339.1","4.50","11.10"
"249.1","120","20.9","4.50","11.10"
"290.9","60","200.9","4.50","11.10"
"290.9","120","159.1","4.50","11.10"
"69.1","60","339.1","4.50","11.10"
"69.1","120","20.9","4.50","11.10"
"148.3","36","58.3","3.20","6.88"
"148.3","144","301.7","3.20","6.88"
"211.7","36","121.7","3.20","6.88"
"211.7","144","238.3","3.20","6.88"
"328.3","36","58.3","3.20","6.88"
"328.3","144","301.7","3.20","6.88"
"31.7","36","121.7","3.20","6.88"
"31.7","144","238.3","3.20","6.88"
"58.3","36","58.3","5.00","3.18"
"58.3","144","301.7","5.00","3.18"
"121.7","36","121.7","5.00","3.18"
"121.7","144","238.3","5.00","3.18"
"238.3","36","58.3","5.00","3.18"
"238.3","144","301.7","5.00","3.18"
"301.7","36","121.7","5.00","3.18"
"301.7","144","238.3","5.00","3.18"
"148.3","36","238.3","3.20","10.25"
"148.3","144","121.7","3.20","10.25"
"211.7","36","301.7","3.20","10.25"
"211.7","144","58.3","3.20","10.25"
"328.3","36","238.3","3.20","10.25"
"328.3","144","121.7","3.20","10.25"
"31.7","36","301.7","3.20","10.25"
"31.7","144","58.3","3.20","10.25"
"58.3","36","238.3","4.90","10.18"
"58.3","144","121.7","4.90","10.18"
"121.7","36","301.7","4.90","10.18"
"121.7","144","58.3","4.90","10.18"
"238.3","36","238.3","4.90","10.18"
"238.3","144","121.7","4.90","10.18"
"301.7","36","301.7","4.90","10.18"
"301.7","144","58.3","4.90","10.18"
"148.3","72","121.7","4.80","10.18"
"148.3","108","238.3","4.80","10.18"
"211.7","72","58.3","4.80","10.18"
"211.7","108","301.7","4.80","10.18"
"328.3","72","121.7","4.80","10.18"
"328.3","108","238.3","4.80","10.18"
"31.7","72","58.3","4.80","10.18"
"31.7","108","301.7","4.80","10.18"
"58.3","72","121.7","4.10","6.48"
"58.3","108","238.3","4.10","6.48"
"121.7","72","58.3","4.10","6.48"
"121.7","108","301.7","4.10","6.48"
"238.3","72","121.7","4.10","6.48"
"238.3","108","238.3","4.10","6.48"
"301.7","72","58.3","4.10","6.48"
"301.7","108","301.7","4.10","6.48"
"148.3","72","301.7","4.70","4.24"
"148.3","108","58.3","4.70","4.24"
"211.7","72","238.3","4.70","4.24"
"211.7","108","121.7","4.70","4.24"
"328.3","72","301.7","4.70","4.24"
"328.3","108","58.3","4.70","4.24"
"31.7","72","238.3","4.70","4.24"
"31.7","108","121.7","4.70","4.24"
"58.3","72","301.7","4.80","11.75"
"58.3","108","58.3","4.80","11.75"
"121.7","72","238.3","4.80","11.75"
"121.7","108","121.7","4.80","11.75"
"238.3","72","301.7","4.80","11.75"
"238.3","108","58.3","4.80","11.75"
"301.7","72","238.3","4.80","11.75"
"301.7","108","121.7","4.80","11.75"
"180","90","0","5.10","1.25"
"180","90","180","5.10","1.25"
"0","90","0","5.10","1.25"
"0","90","180","5.10","1.25"
"90","90","0","2.40","3.74"
"90","90","180","2.40","3.74"
"270","90","0","2.40","3.74"
"270","90","180","2.40","3.74"
