"Alpha","Beta","Gamma","b","Mull_pop_C1","Mull_pop_C2","Mull_pop_H3","Mull_pop_H4","Mull_popH5","Mull_pop_H6","Mull_pop_P"
"90","0","0","0.00","6.26375830121","6.29754185112","0.825327136527","0.825327806102","0.892654787837","0.892654907373","2.74E-3"
"90","0","0","0.10","6.15556115478","6.25783495099","0.766000073103","0.717193281934","0.544490470826","0.695074189904","0.863845878454"
"90","0","0","0.20","6.30666143644","5.88406735454","0.749691994454","0.648172937387","0.578058652226","1.00928126984","0.82406635511"
"90","0","0","0.30","6.35777716153","5.83376370287","0.673477623897","0.622874727789","0.649100744684","0.990610687459","0.872395351774"
"90","0","0","0.40","6.38685947195","5.67012946921","0.647941258677","0.63413060683","0.686586527238","0.972361693473","1.00199097261"
"90","0","0","0.50","6.36022120853","5.84454766339","0.581373032574","0.676385674357","0.633039785743","0.936907290589","0.967525344824"
"90","0","0","0.60","6.33286805741","5.80390517976","0.701478622696","0.661907578668","0.658903649004","1.01064477066","0.8302921418"
"90","0","0","0.70","6.31152861956","5.70857726695","0.703825950241","0.691937477989","0.698024008907","0.999249872545","0.886856803808"
"90","0","0","0.80","6.24699841306","5.78114775007","0.63833396878","0.732384769955","0.65414847166","1.00056843564","0.946418190824"
"90","0","0","0.90","6.36601732308","5.65639619184","0.666281170511","0.758327822093","0.702800495833","1.0055694369","0.844607559746"
"90","0","0","1.00","6.34319834769","5.74962508645","0.720285382364","0.686591621619","0.681692546986","0.982123784875","0.836483230011"
"90","0","0","1.10","6.30637964791","5.8271753648","0.669037793821","0.725797054797","0.608759130518","0.985755097416","0.877095910737"
"90","0","0","1.20","6.27643925808","5.76853574252","0.632897044937","0.738003804238","0.627985458158","0.992752857343","0.963385834723"
"90","0","0","1.30","6.21564137482","5.80108365469","0.615051782768","0.727905266053","0.650287898995","0.995546955414","0.994483067261"
"90","0","0","1.40","6.16167378707","5.9301363284","0.584759988193","0.708888996893","0.616487925105","0.997218434842","1.0008345395"
"90","0","0","1.50","6.05823551655","6.02426326894","0.658001153666","0.696751726352","0.573101152973","0.925402280754","1.06424490077"
"90","0","0","1.60","6.37941788102","5.66034455683","0.707180616932","0.774428238304","0.610496362593","0.87388145908","0.994250885241"
