"Alpha","Beta","Gamma","b","Mull_pop_C1","Mull_pop_C2","Mull_pop_H3","Mull_pop_H4","Mull_popH5","Mull_pop_H6","Mull_pop_P"
"90","0","0","0.00","6.2419150504","6.22671205642","0.85990221035","0.859903388649","0.905778965268","0.905778345309","9.98E-6"
"90","0","0","0.10","6.23737828369","6.23916378878","0.75392129201","0.692529372001","0.694054424156","0.71004936572","0.67290347364"
"90","0","0","0.20","6.20714909135","5.98511143874","0.78217320877","0.730326724664","0.649527315713","0.964782592976","0.68092962779"
"90","0","0","0.30","6.42927906605","5.85163426811","0.721818041891","0.6565597845","0.588560742552","0.961386161186","0.790761935705"
"90","0","0","0.40","6.44536509006","5.7588044465","0.675868835581","0.62555523759","0.662201100219","0.841866847312","0.99033844273"
"90","0","0","0.50","6.31698219307","5.84753308319","0.649920647753","0.66966943958","0.659469976636","0.937191077894","0.919233581869"
"90","0","0","0.60","6.37873169741","5.73200734656","0.701664263205","0.707113335466","0.672645739007","0.973807959816","0.834029658534"
"90","0","0","0.70","6.36114462431","5.83711007351","0.749621571122","0.68256821199","0.708171705719","0.976182802263","0.685201011089"
"90","0","0","0.80","6.43773723932","5.77962258763","0.675056760238","0.638490640009","0.70920271851","0.988948985661","0.770941068634"
"90","0","0","0.90","6.2114179498","5.92346826595","0.719609069894","0.719961919011","0.734418183864","0.994634317848","0.696490293639"
"90","0","0","1.00","6.3386776131","5.9010778547","0.679503644724","0.670721386155","0.667363792382","0.993781363226","0.748874345711"
"90","0","0","1.10","6.38415612831","5.84464318263","0.707592637016","0.643867191566","0.572832322166","0.983374937451","0.863533600857"
"90","0","0","1.20","6.34525668146","5.79203799455","0.683482071235","0.67199294051","0.637003388364","0.991391648259","0.878835275631"
"90","0","0","1.30","6.19728291885","5.81280927768","0.623768113617","0.723319093116","0.652532135503","0.966412445551","1.02387601568"
"90","0","0","1.40","6.17283008008","5.90424679543","0.59034547904","0.7071520987","0.628251798298","0.983934318467","1.01323942998"
"90","0","0","1.50","6.06875454731","6.02921083925","0.603616786303","0.68708303742","0.623131290636","0.996719362735","0.991484136341"
"90","0","0","1.60","6.34875658408","5.84131872095","0.766521323811","0.728896064378","0.669739023398","0.68449719819","0.960271085197"
"90","0","0","1.70","6.29031158823","5.98303838636","0.77983137365","0.721959096741","0.668133872341","0.529577162538","1.02714852014"
"90","0","0","1.80","6.31296999776","5.70811130728","0.684765256217","0.699988981126","0.636241485956","0.969463055242","0.988459916413"
"90","0","0","1.90","6.06024839956","6.32041150083","0.623346453433","0.730688611759","0.756134871573","0.8024863003","0.706683862544"
"90","0","0","2.00","5.64823469443","6.20906710942","0.95821731287","0.690426371712","0.713850588217","0.9287684531","0.85143547025"
"90","0","0","2.10","5.78529042541","5.94891288716","0.980565916052","0.668679087883","0.64367694683","0.983537381593","0.989337355069"
"90","0","0","2.20","6.32412421287","5.7682268038","0.687366109546","0.634670182164","0.644894926375","0.99140943234","0.949308332907"
"90","0","0","2.30","6.35375651383","5.73656932833","0.670160733525","0.717990290339","0.590700393868","0.995828315903","0.934994424202"
"90","0","0","2.40","6.29192127067","5.97958213315","0.799077345595","0.754012557917","0.718330714605","0.998263706152","0.45881227191"
"90","0","0","2.50","6.39210826703","5.71590100141","0.691822409994","0.648611522871","0.665748786741","1.00150041221","0.884307599738"
"90","0","0","2.60","6.2248852549","6.12737128221","0.724332320418","0.642971547353","0.640960597778","0.662495689772","0.976983307569"
